maintenance_id,property_id,maintenance_date,maintenance_type,cost,description
107,82,10/9/2020,Painting,9424,3-400 - Precast Concrete
108,101,5/8/2023,Roofing replacement,8906,11-070 - Instrumental Equipment
109,750,4/9/2019,Painting,3068,2-824 - Wire Fences and Gates
110,900,9/24/2019,Painting,5959,10-600 - Partitions
111,47,7/29/2022,HVAC servicing,1320,1-760 - Protecting Installed Construction
112,207,4/12/2019,HVAC servicing,4584,2-870 - Sculpture/Ornamental
113,761,8/14/2019,Plumbing repair,9484,10-500 - Lockers
114,521,6/26/2019,Flooring repair,6418,13-500 - Recording Instrumentation
115,780,11/19/2022,Roofing replacement,8985,12 - Furnishings
116,292,2/21/2023,Roofing replacement,4292,9-400 - Terrazzo
117,485,6/12/2021,Electrical maintenance,4457,8 - Doors and Windows
118,418,1/8/2020,,8197,4-800 - Masonry Assemblies
119,579,4/26/2020,,4686,10-750 - Telephone Specialties
120,334,1/21/2020,Painting,9835,14-900 - Transportation
121,451,11/21/2023,Plumbing repair,7391,2-932 - PLants and Bulbs
122,465,5/28/2022,Window replacement,6625,3-320 - Slab Foundations
123,456,9/9/2023,Plumbing repair,8172,2-815 - Fountains
124,314,11/29/2020,Roofing replacement,6926,5-600 - Hydraulic Fabrications
125,312,1/31/2020,Electrical maintenance,4754,15-800 - Air Distribution
126,625,1/10/2022,Roofing replacement,7984,1-542 - Construction Scaffolding and Platforms
127,356,10/7/2020,Painting,9485,13-010 - Air-Supported Structures
128,151,4/13/2023,Painting,9155,"15-950 - Testing, Adjusting, and Balancing"
129,73,10/12/2023,Window replacement,8803,2-815 - Fountains
130,108,8/26/2019,Roofing replacement,7523,13-100 - Lightning Protection
131,416,3/1/2022,Painting,2115,1-600 - Product Requirements (Scope of Work)
132,333,12/26/2019,HVAC servicing,3287,1-010 - Project Manager
133,645,9/9/2023,Plumbing repair,4432,8-900 - Glazed Curtain Wall
134,170,1/7/2021,HVAC servicing,2009,10-600 - Partitions
135,494,1/3/2019,Painting,514,7-050 - Basic Thermal and Moisture Protection Materials and Methods
136,961,11/2/2023,Plumbing repair,5330,10-750 - Telephone Specialties
137,847,9/18/2020,Roofing replacement,9214,13-030 - Special Purpose Rooms
138,705,1/5/2023,Electrical maintenance,184,"11-480 - Athletic, Recreational, and Therapeutic Equipment"
139,231,2/7/2021,Flooring repair,2983,7-600 - Flashing and Sheet Metal
140,888,12/25/2020,Window replacement,9689,2-900 - Landscaping
141,962,8/27/2021,Roofing replacement,8209,5-050 - Basic Metal Materials and Methods
142,69,7/26/2022,Roofing replacement,2221,11-100 - Mercantile Equipment
143,889,11/20/2020,Plumbing repair,1028,2-317 - Select Borrow
144,804,8/19/2019,Painting,2233,10-290 - Pest Control
145,304,12/1/2020,,7948,8-200 - Wood and Plastic Doors
146,598,2/14/2020,Plumbing repair,5416,"7-300 - Shingles, Roof Tiles, and Roof Coverings"
147,238,11/9/2020,,8720,2-812 - Drip Irrigation
148,79,12/26/2020,Electrical maintenance,1018,11-500 - Industrial and Process Equipment
149,341,11/1/2019,Window replacement,5073,15-500 - Heat-Generation Equipment
150,84,5/10/2022,Plumbing repair,3460,3-540 - Cementitious Underlayments
151,933,12/12/2019,Plumbing repair,2356,"15-700 - Heating, Venting and Air Conditioning"
152,654,7/26/2020,Roofing replacement,7668,2-815 - Fountains
153,286,5/4/2019,Window replacement,8113,4-050 - Basic Masonry Materials and Methods
154,662,3/10/2021,HVAC servicing,2500,17 - Markup and Contingency
155,714,1/19/2023,Roofing replacement,1075,12-900 - Furnishings Restoration and Repair
156,380,1/25/2023,Painting,5099,2-783 - Interlocking Concrete Unit Paving
157,843,4/28/2019,Painting,9751,16-700 - Communications
158,123,5/10/2023,HVAC servicing,5360,14-800 - Scaffolding
159,800,1/7/2022,Painting,4768,14-800 - Scaffolding
160,115,8/9/2021,Window replacement,9790,13-700 - Security Access and Surveillance
161,738,7/5/2022,Electrical maintenance,1661,6 - Wood and Plastics
162,295,10/9/2019,Painting,6719,8-050 - Basic Door and Window Materials and Methods
163,450,2/24/2021,Roofing replacement,8007,1-518 - Temporary Water
164,326,7/12/2020,Window replacement,991,2-924 - Sodding
165,688,10/13/2021,Flooring repair,6023,"13-080 - Sound, Vibration, and Seismic Control"
166,448,11/24/2020,Window replacement,1480,1-517 - Temporary Telephone
167,307,2/23/2019,Roofing replacement,4932,9-500 - Ceilings
168,8,12/16/2019,Roofing replacement,9814,11-100 - Mercantile Equipment
169,709,4/3/2020,Roofing replacement,7678,14-300 - Escalators and Moving Walks
170,869,6/12/2022,HVAC servicing,5565,5-100 - Structural Metals
171,658,5/4/2022,Plumbing repair,6068,7-100 - Damproofing and Waterproofing
172,253,1/18/2020,,1341,15-900 - HVAC Instruments and Controls
173,608,4/8/2023,Plumbing repair,4624,2-790 - Athletic Surfacing
174,244,8/9/2023,Electrical maintenance,8540,3-000 - General
175,631,7/14/2022,Roofing replacement,7411,8-500 - Windows
176,875,6/24/2021,HVAC servicing,5571,7-600 - Flashing and Sheet Metal
177,70,3/23/2022,Roofing replacement,1473,16-800 - Sound and Video
178,189,2/19/2023,,3158,8-300 - Specialty Doors
179,324,2/7/2023,Roofing replacement,1107,16-400 - Low-Voltage Distribution
180,832,8/19/2021,Flooring repair,6657,2-822 - Ornamental Metal Fences and Gates
181,124,12/21/2021,Window replacement,1057,2-919 - Topsoil
182,674,11/15/2023,Roofing replacement,2631,2-783 - Interlocking Concrete Unit Paving
183,445,3/28/2022,Flooring repair,9647,10-450 - Pedestrian Control Devices
184,190,2/15/2021,Painting,9226,10-600 - Partitions
185,121,5/25/2019,Flooring repair,2790,4-400 - Stone
186,589,6/13/2020,Roofing replacement,8821,9-800 - Acoustical Treatment
187,477,11/8/2020,,128,"15-700 - Heating, Venting and Air Conditioning"
188,330,6/1/2020,Painting,6867,9-900 - Paints and Coatings
189,685,3/6/2023,HVAC servicing,2540,2-770 - Curb and Gutters
190,527,10/11/2021,Plumbing repair,5402,2-230 - Site Clearing
191,819,12/25/2019,Roofing replacement,5637,16-100 - Electrical
192,166,1/29/2019,HVAC servicing,3483,7 - Thermal and Moisture Protection
193,571,12/3/2022,Window replacement,1117,10-270 - Access Flooring
194,824,11/27/2019,Flooring repair,6465,1-517 - Temporary Telephone
195,528,5/4/2021,Window replacement,777,12-900 - Furnishings Restoration and Repair
196,826,12/1/2019,Flooring repair,501,2-312 - Rough Grading
197,4,3/15/2022,Roofing replacement,4459,16-050 - Basic Electrical Materials and Methods
198,666,6/25/2021,Window replacement,5093,14-300 - Escalators and Moving Walks
199,833,12/30/2023,Plumbing repair,7411,1-542 - Construction Scaffolding and Platforms
200,734,6/25/2020,Window replacement,4718,12-900 - Furnishings Restoration and Repair
201,433,2/18/2022,Electrical maintenance,6428,3-330 - Poured Concrete Basement Walls
202,689,1/7/2021,Window replacement,2371,7 - Thermal and Moisture Protection
203,338,3/13/2019,Roofing replacement,6769,2-936 - Fertilizer
204,260,11/10/2022,Window replacement,7221,14-200 - Elevators
205,41,11/13/2022,Painting,9868,17-030 - Bond
206,112,4/13/2020,Electrical maintenance,9106,6-400 - Architectural Woodwork
207,938,8/22/2022,,830,11-110 - Commercial Laundry and Dry Cleaning Equipment
208,696,10/17/2019,HVAC servicing,6741,2-540 - Septic Tank
209,9,1/31/2019,Electrical maintenance,2135,17-040 - Profit
210,197,5/3/2023,Plumbing repair,9343,1-523 - Sanitary Facilities
211,75,6/1/2021,Roofing replacement,3027,12-900 - Furnishings Restoration and Repair
212,81,8/10/2023,Window replacement,1078,"15-950 - Testing, Adjusting, and Balancing"
213,191,12/3/2020,Roofing replacement,4863,3-330 - Poured Concrete Basement Walls
214,945,10/27/2023,Electrical maintenance,6474,3-300 - Footings
215,686,9/19/2021,Roofing replacement,1535,10-880 - Scales
216,182,2/10/2023,Window replacement,6295,15-500 - Heat-Generation Equipment
217,438,10/13/2019,Window replacement,8311,3-540 - Cementitious Underlayments
218,919,12/13/2019,Plumbing repair,8735,13-850 - Detection and Alarm
219,128,6/11/2023,Plumbing repair,4302,2-621 - Foundatation Drainage Piping
220,236,1/27/2023,Window replacement,6229,13-010 - Air-Supported Structures
221,798,8/6/2021,Flooring repair,6193,11-110 - Commercial Laundry and Dry Cleaning Equipment
222,221,9/1/2021,Plumbing repair,5029,3-050 - Concrete Subcontractor
223,349,1/27/2021,Window replacement,2240,13-200 - Storage Tanks
224,429,7/10/2020,Window replacement,8588,9-250 - Gypsum Wallboard
225,496,1/17/2019,Plumbing repair,5430,2-250 - Shoring and Underpinning
226,693,1/19/2020,Painting,3487,3 - Concrete
227,175,12/31/2022,Window replacement,9918,2-800 - Site Amenities
228,305,8/24/2022,HVAC servicing,8112,"10-800 - Toilet, Bath, and Laundry Specialties"
229,908,6/29/2023,HVAC servicing,9619,3-000 - General
230,639,5/31/2023,Plumbing repair,6166,1-570 - Temporary Controls
231,39,7/13/2019,Flooring repair,8540,5-800 - Expansion Control
232,993,7/15/2022,Electrical maintenance,4355,3-600 - Grouts
233,136,3/29/2022,Roofing replacement,250,13-230 - Digester Covers and Appurtenances
234,791,12/12/2019,HVAC servicing,5522,9-400 - Terrazzo
235,272,8/22/2022,Flooring repair,4723,11-040 - Ecclesiastical Equipment
236,740,12/25/2020,Painting,1745,5-050 - Basic Metal Materials and Methods
237,3,10/21/2022,HVAC servicing,8965,12-900 - Furnishings Restoration and Repair
238,739,3/22/2022,Plumbing repair,9266,9-700 - Wall Finishes
239,196,6/3/2019,HVAC servicing,7350,9-800 - Acoustical Treatment
240,203,12/21/2019,Plumbing repair,3559,9-050 - Basic Finish Materials and Methods
241,558,11/22/2020,Window replacement,2918,2 - Site Construction
242,774,9/23/2019,HVAC servicing,3392,2-850 - Bridges/Footbridges
243,352,11/2/2023,Roofing replacement,1137,4-800 - Masonry Assemblies
244,661,12/10/2022,Flooring repair,3326,10-100 - Visual Display Boards
245,706,10/19/2021,Flooring repair,5251,13-900 - Fire Suppression
246,110,9/28/2023,Roofing replacement,4635,1-510 - Temporary Utilities
247,502,9/28/2022,Electrical maintenance,4877,17 - Markup and Contingency
248,394,4/14/2020,,881,16-400 - Low-Voltage Distribution
249,581,8/18/2020,HVAC servicing,6945,13-175 - Ice Rinks
250,764,4/16/2021,Electrical maintenance,8830,2-750 - Concrete Pads and Walks
251,636,3/19/2021,Flooring repair,6513,4-600 - Corrosion-Resistant Masonry
252,852,10/26/2019,,3132,8-900 - Glazed Curtain Wall
253,563,5/12/2022,Painting,8048,15-400 - Plumbing Fixtures and Equipment
254,143,11/4/2019,Roofing replacement,5102,10-300 - Fireplaces and Stoves
255,748,4/27/2020,,3177,2-919 - Topsoil
256,86,10/16/2023,Electrical maintenance,7561,3-600 - Grouts
257,925,7/12/2021,Plumbing repair,234,13-230 - Digester Covers and Appurtenances
258,694,12/2/2020,Flooring repair,4983,1-511 - Temporary Electricity
259,284,9/7/2021,Flooring repair,4100,1-523 - Sanitary Facilities
260,78,4/24/2022,Flooring repair,2682,2-800 - Site Amenities
261,271,7/17/2021,Roofing replacement,101,10-450 - Pedestrian Control Devices
262,621,8/11/2020,Flooring repair,9552,9-300 - Tile
263,30,8/23/2021,Window replacement,6636,14-300 - Escalators and Moving Walks
264,452,3/29/2022,Painting,7356,5-600 - Hydraulic Fabrications
265,602,10/1/2020,Roofing replacement,4051,3-500 - Cementitious Decks and Underlayments
266,457,3/15/2023,,3241,1-510 - Temporary Utilities
267,767,6/5/2023,Electrical maintenance,7060,7-200 - Thermal Protection - Insulation
268,76,2/20/2020,Painting,1970,1-517 - Temporary Telephone
269,821,6/27/2020,Flooring repair,9050,10-450 - Pedestrian Control Devices
270,503,3/3/2023,Painting,2760,10-290 - Pest Control
271,180,11/24/2023,Flooring repair,4051,1-011 - Project Engineer
272,947,9/3/2022,Plumbing repair,4542,11-450 - Residential Equipment
273,215,4/3/2020,HVAC servicing,7641,6-200 - Finish Carpentry
274,981,5/12/2020,Plumbing repair,3848,11-850 - Navigation Equipment
275,96,7/9/2019,,5290,10-400 - Identification Devices
276,491,4/5/2021,Electrical maintenance,3730,16-050 - Basic Electrical Materials and Methods
277,45,4/26/2022,Painting,2824,"1-514 - Temporary Heating, Cooling and Ventilation"
278,985,10/29/2020,Electrical maintenance,8288,8-700 - Hardware
279,757,5/30/2023,Window replacement,8341,4-700 - Simulated Masonry
280,769,7/24/2020,Painting,2104,2-815 - Fountains
281,437,11/20/2022,HVAC servicing,6723,1-000 - Purpose
282,316,6/11/2022,Plumbing repair,7619,9-800 - Acoustical Treatment
283,721,10/25/2019,Electrical maintenance,9288,8-800 - Glazing
284,615,10/19/2020,Plumbing repair,8551,11-700 - Medical Equipment
285,957,10/12/2020,Roofing replacement,2960,10-500 - Lockers
286,963,2/29/2020,Roofing replacement,380,2-230 - Site Clearing
287,763,2/7/2020,,1842,5-900 - Metal Restoration and Cleaning
288,991,11/13/2023,Painting,5379,2-830 - Retaining Walls
289,184,10/12/2020,Flooring repair,9298,9-300 - Tile
290,792,12/18/2022,Flooring repair,9037,13-550 - Transportation Control Instrumentation
291,91,7/26/2022,HVAC servicing,5751,2-800 - Site Amenities
292,315,2/18/2023,HVAC servicing,7533,11-780 - Mortuary Equipment
293,301,1/11/2022,HVAC servicing,1557,"11-480 - Athletic, Recreational, and Therapeutic Equipment"
294,328,7/28/2021,Window replacement,1815,"15-950 - Testing, Adjusting, and Balancing"
295,701,9/29/2023,HVAC servicing,1498,13-260 - Sludge Conditioning Systems
296,83,6/25/2022,HVAC servicing,4725,2-740 - Flexible Pavement Asphalt Pavement
297,279,5/5/2023,Flooring repair,5871,13-120 - Pre-Engineered Structures
298,399,7/6/2019,,5682,2-230 - Site Clearing
299,421,3/4/2022,Window replacement,7743,11-650 - Planetarium Equipment
300,576,10/4/2023,Roofing replacement,2059,14-700 - Turntables
301,397,12/12/2021,Electrical maintenance,8243,10-150 - Compartments and Cubicles
302,877,10/15/2021,Painting,7087,15-500 - Heat-Generation Equipment
303,719,5/30/2019,Plumbing repair,7858,11-680 - Office Equipment
304,249,6/25/2021,Window replacement,7318,8-900 - Glazed Curtain Wall
305,165,8/18/2019,HVAC servicing,2620,16 - Electrical
306,942,5/25/2020,Roofing replacement,1164,1-560 - Temporary Barriers and Enclosures
307,923,6/17/2020,,972,16-400 - Low-Voltage Distribution
308,368,5/7/2020,,7770,10-150 - Compartments and Cubicles
309,217,3/26/2019,Flooring repair,2894,11-150 - Parking Control Equipment
310,723,9/3/2023,Electrical maintenance,3228,14-200 - Elevators
311,275,4/20/2020,Window replacement,981,9-900 - Paints and Coatings
312,672,11/25/2022,HVAC servicing,9504,11-300 - Fluid Waste Treatment and Disposal Equipment
313,670,12/8/2020,Plumbing repair,991,7-050 - Basic Thermal and Moisture Protection Materials and Methods
314,142,4/4/2020,HVAC servicing,6207,1-511 - Temporary Electricity
315,898,2/10/2021,Plumbing repair,7821,12-600 - Multiple Seating
316,321,7/15/2020,Flooring repair,3104,8-600 - Skylights
317,266,4/24/2021,Painting,6299,10-520 - Fire Protection Specialties
318,345,8/23/2021,Painting,2364,1-540 - Construction Aids
319,786,12/7/2022,Electrical maintenance,4224,2-625 - Retaining Wall Drainage Piping
320,144,4/15/2021,Roofing replacement,2584,2-825 - Wood Fences and Gates
321,239,7/11/2020,Plumbing repair,1765,2-317 - Select Borrow
322,637,9/18/2023,HVAC servicing,4818,4-200 - Masonry Units
323,536,11/1/2023,Roofing replacement,3842,1-000 - Purpose
324,430,3/23/2023,Painting,5556,5-900 - Metal Restoration and Cleaning
325,823,10/28/2020,Roofing replacement,3097,2-540 - Septic Tank
326,613,11/14/2019,Roofing replacement,1103,1-700 - Execution Requirements
327,290,8/28/2019,Plumbing repair,394,6-200 - Finish Carpentry
328,33,7/19/2019,Flooring repair,3057,1-012 - Superintendent
329,783,12/23/2019,,5239,12-600 - Multiple Seating
330,506,10/5/2021,Electrical maintenance,8591,13-170 - Tubs and Pools
331,472,3/3/2023,Flooring repair,5637,2-315 - Excavation
332,240,8/23/2022,Electrical maintenance,3787,2-936 - Fertilizer
333,901,4/3/2021,Roofing replacement,1108,1-580 - Project Identification
334,992,2/1/2020,,5758,15-800 - Air Distribution
335,906,8/26/2023,,4512,13-600 - Solar and Wind Energy Equipment
336,72,1/2/2023,Window replacement,3259,10-520 - Fire Protection Specialties
337,884,11/28/2022,Electrical maintenance,3569,2-220 - Site Demolition
338,517,7/9/2022,Electrical maintenance,3732,17-010 - Contingency
339,234,4/16/2019,Painting,8019,10-100 - Visual Display Boards
340,138,11/27/2023,Electrical maintenance,4125,13-900 - Fire Suppression
341,371,3/22/2021,Electrical maintenance,944,13-280 - Hazardous Material Remediation
342,306,7/16/2020,Painting,3684,11-400 - Food Service Equipment
343,814,12/16/2022,Plumbing repair,8070,7-500 - Membrane Roofing
344,310,11/3/2020,,1877,2-780 - Clay Unit Pavers
345,793,2/21/2020,Painting,2305,2-800 - Site Amenities
346,420,3/26/2022,Roofing replacement,8827,12-500 - Furniture
347,250,9/12/2021,HVAC servicing,8329,6-200 - Finish Carpentry
348,655,4/26/2023,Painting,6257,6-900 - Wood and Plastic Restoration and Cleaning
349,130,4/5/2023,Roofing replacement,9172,1-580 - Project Identification
350,635,3/24/2021,Flooring repair,5830,1-600 - Product Requirements (Scope of Work)
351,903,9/9/2022,,6456,2-822 - Ornamental Metal Fences and Gates
352,192,2/6/2022,Roofing replacement,4293,4-050 - Basic Masonry Materials and Methods
353,546,1/25/2020,Electrical maintenance,2615,11-870 - Agricultural Equipment
354,367,2/8/2023,Window replacement,8033,10-700 - Exterior Protection
355,760,12/28/2021,Roofing replacement,8217,5-700 - Ornamental Metal
356,42,3/21/2021,Flooring repair,5118,5-900 - Metal Restoration and Cleaning
357,229,11/9/2022,Painting,5674,1-904 - Hazardous Materials Removal and Disposal
358,200,1/14/2020,,9379,7-400 - Roofing and Siding Panels
359,167,10/19/2022,Window replacement,6319,13-200 - Storage Tanks
360,38,4/1/2022,Plumbing repair,6979,2-780 - Clay Unit Pavers
361,864,5/3/2020,Electrical maintenance,3103,11-050 - Library Equipment
362,227,7/5/2021,,8068,3-400 - Precast Concrete
363,498,10/18/2021,Painting,8880,10-820 - Bathroom Accessories
364,518,3/21/2020,,6674,7-400 - Roofing and Siding Panels
365,263,1/30/2022,Roofing replacement,5062,3-320 - Slab Foundations
366,282,4/10/2021,Roofing replacement,1683,5-500 - Metal Fabrications
367,294,5/27/2019,Electrical maintenance,636,15-050 - Basic Mechanical Materials and Methods
368,111,4/17/2022,,3680,2 - Site Construction
369,156,4/18/2019,Electrical maintenance,6656,2-311 - Final Grading
370,917,4/22/2021,Window replacement,6159,11-120 - Vending Equipment
371,256,7/10/2022,Plumbing repair,112,13-400 - Measurement and Control Instrumentation
372,288,11/9/2019,Plumbing repair,2230,11-780 - Mortuary Equipment
373,439,12/17/2023,HVAC servicing,5064,11-050 - Library Equipment
374,204,12/19/2021,HVAC servicing,495,11-680 - Office Equipment
375,997,12/3/2020,HVAC servicing,7539,1-014 - Project Executive
376,181,3/30/2021,Roofing replacement,3472,12-900 - Furnishings Restoration and Repair
377,442,7/31/2021,Plumbing repair,8030,1-014 - Project Executive
378,459,9/24/2020,Flooring repair,6853,11-070 - Instrumental Equipment
379,434,3/24/2019,,5540,8-500 - Windows
380,163,11/23/2020,Flooring repair,2401,13-185 - Kennels and Animal Shelters
381,36,6/24/2023,Roofing replacement,6551,1-517 - Temporary Telephone
382,730,12/4/2023,Roofing replacement,7589,11-120 - Vending Equipment
383,150,4/24/2022,Flooring repair,8829,11-030 - Teller and Service Equipment
384,336,3/14/2021,HVAC servicing,3577,1-511 - Temporary Electricity
385,289,4/24/2019,Window replacement,3072,8-400 - Entrances and Storefronts
386,94,5/13/2022,Roofing replacement,8896,2-200 - Site Preparation
387,657,6/20/2019,HVAC servicing,6947,"15-950 - Testing, Adjusting, and Balancing"
388,647,6/11/2021,,4506,10-750 - Telephone Specialties
389,369,5/20/2019,Flooring repair,1378,3 - Concrete
390,232,12/21/2021,Flooring repair,1277,11-170 - Solid Waste Handling Equipment
391,198,12/25/2023,Painting,8066,4-700 - Simulated Masonry
392,680,6/27/2020,Electrical maintenance,8928,2-782 - Brick Pavers
393,144,12/23/2020,HVAC servicing,2227,12-500 - Furniture
394,845,11/11/2022,Painting,9028,7-500 - Membrane Roofing
395,913,5/8/2022,Window replacement,7102,9-050 - Basic Finish Materials and Methods
